"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"168404","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/多模态-文件管理/文件编目(#9586)","【多模态】文件管理（公共空间）(#15021)","验证【文件编目】弹窗页的“编目名称”下拉框支持搜索选择","<p>1.【非结构化数据-文件管理-文件编目】弹窗页已打开</p>
<p>2.存在至少一条编目名称包含“测试”</p>","1. 点击“编目名称”下拉框，输入：测试
2. 选择其一","1. 搜索出所有包含测试的编目名称
2. 1.正常选择
2.下方显示该编目正确字段信息","1. 
2.","","3","功能测试","","正常","0","1","2","通过","听筠","2025-11-13","","0000-00-00","1","",""
"168351","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/多模态权限点(#9660)","","验证文件编目页面权限是否生效","无","1. admin和管理员用户登陆，查看文件编目页面
2. 数据开发用户登陆，查看文件编目页面
3. 访客用户登陆，查看文件编目页面","1. 有查看和操作权限
2. 有查看和操作权限
3. 只有查看没有操作权限","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","0","2","3","失败","可颂","2025-11-12","可颂","2025-11-13","1","",""
"168350","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/多模态权限点(#9660)","","验证上传记录页面权限是否生效","无","1. admin和管理员用户登陆，查看上传记录页面
2. 数据开发用户登陆，查看上传记录页面
3. 访客用户登陆，查看上传记录页面","1. 有查看和操作权限
2. 有查看和操作权限
3. 只有查看没有操作权限","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","0","1","3","通过","可颂","2025-11-12","","0000-00-00","1","",""
"168349","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/多模态权限点(#9660)","","验证文件管理页面权限是否生效","无","1. admin和管理员用户登陆，查看文件管理页面
2. 数据开发用户登陆，查看文件管理页面
3. 访客用户登陆，查看文件管理页面","1. 有查看和操作权限
2. 有查看和操作权限
3. 只有查看没有操作权限","1. 
2. 
3.","","1","功能测试","功能测试阶段","正常","0","1","3","通过","可颂","2025-11-12","","0000-00-00","1","",""
"168348","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/多模态权限点(#9660)","","验证数据资产新增非结构化权限点功能","无","1. 进入【数据资产】-【角色管理】，查看角色展示
2. 进入【数据资产】，右上角设置按钮-【角色管理】，查看资产新增权限点功能","1. 1）新增非结构化权限点，有文件管理、上传记录、文件编目，每个功能有操作和查看权限2）访客没有文件管理、上传记录、文件编目的操作权限，为X，其他的都为✅
2. 1）新增非结构化权限点，有文件管理、上传记录、文件编目，每个功能有操作和查看权限2）访客没有文件管理、上传记录、文件编目的操作权限，为X，其他的都为✅","1. 
2.","","2","功能测试","功能测试阶段","正常","0","1","2","通过","可颂","2025-11-12","","0000-00-00","1","",""
"168347","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/多模态权限点(#9660)","","验证数据资产角色按最新菜单调整功能","权限点文档：https://dtstack.yuque.com/rd-center/dataassets/hhd59nsg1489zx1r#3Keq","1. 进入【数据资产】-【角色管理】，查看角色展示
2. 进入【数据资产】-右上角设置按钮-【角色管理】，查看资产角色展示","1. 角色名称、位置、及勾选状况展示和权限点文档一致
2. 角色名称、位置、及勾选状况展示和权限点文档一致","1. 
2.","","2","功能测试","功能测试阶段","正常","0","0","2","","可颂","2025-11-12","","0000-00-00","1","",""
"168333","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/交付需求/【军工717】支持设置字段属性(#9652)","【军工717】支持设置字段属性(#15028)","验证测试属性名列的批量编辑功能","已进入元数据-数据地图-表详情页","1. 查看该表字段的非分区字段和分区字段详情
2. 查看测试属性名列
3. 点击批量编辑按钮
4. 正确编辑多个属性名值，未全编辑，点击保存按钮
5. 正确编辑全部属性名值，点击保存按钮
6. 编辑部分属性名，点击取消按钮","1. 列表都新增了测试属性名表头，
且列表右下角新增批量编辑按钮
2. 显示内容，且右边包含支持编辑字段属性的图标
3. 测试属性名列所有属性名值为编辑状态，显示编辑框；
显示属性名原有内容，无内容时显示占位符：请输入测试属性名；
列表右下角更改为取消、保存按钮
4. 被编辑的属性名成功修改，未修改的属性名不变化
5. 属性名全部成功被修改
6. 编辑取消，属性名未被修改","1. 
2. 
3. 
4. 
5. 
6.","","1","功能测试","功能测试阶段","正常","0","2","6","通过","听筠","2025-11-11","","0000-00-00","1","",""
"168332","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/交付需求/【军工717】支持设置字段属性(#9652)","【军工717】支持设置字段属性(#15028)","验证测试属性名列的编辑功能","已进入元数据-数据地图-表详情页","1. 查看该表字段的非分区字段和分区字段详情
2. 查看测试属性名列
3. 点击编辑图标
4. 正确编辑属性名，点击✅
5. 编辑属性名，点击❌","1. 列表都新增了测试属性名表头，
且列表右下角新增批量编辑按钮
2. 显示内容，且右边包含支持编辑字段属性的图标
3. 弹出编辑框，
显示原有内容，无内容时显示占位符：请输入测试属性名；
编辑框右处显示支持保存和取消图标：✅、❌
4. 编辑保存，属性名被修改
5. 编辑取消，属性名未被修改","1. 
2. 
3. 
4. 
5.","","1","功能测试","功能测试阶段","正常","0","2","5","通过","听筠","2025-11-11","","0000-00-00","1","",""
"168331","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/交付需求/【军工717】支持设置字段属性(#9652)","【军工717】支持设置字段属性(#15028)","验证该字段属性对分区字段和非分区字段均生效","无","1. 进入数据地图-该表详情页
2. 查看页面详情
3. 查看该表字段的非分区字段和分区字段详情","1. 成功进入，默认进入基本信息tab页
2. 新增自定义属性信息，且包含元数据-元模型管理-字段元模型处新增的属性记录
3. 列表都新增了测试属性名表头，
且列表右下角新增批量编辑按钮","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","0","0","3","","听筠","2025-11-11","","0000-00-00","1","",""
"168330","数据资产_STD(#23)","/版本迭代测试用例/v6.4.4/交付需求/【军工717】支持设置字段属性(#9652)","【军工717】支持设置字段属性(#15028)","验证数据地图-表详情页面可查看新增的字段级别自定义属性信息","已在元数据-元模型管理-字段元模型新增至少一个字段级别的自定义属性","1. 进入数据地图-该表详情页
2. 查看页面详情","1. 成功进入，默认进入基本信息tab页
2. 新增自定义属性信息，且包含元数据-元模型管理-字段元模型处新增的属性记录","1. 
2.","","1","功能测试","功能测试阶段","正常","0","2","2","通过","听筠","2025-11-11","","0000-00-00","1","",""
