用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
,数据资产_STD(#23),/版本迭代测试用例/v6.4.11/【lindorm适配】数据资产适配lindorm(#10629)/数据标准/落标检查,【lindorm适配】数据资产适配lindorm(#10629),验证【标准管理】-【落标检查】-【落标检查任务】-【新建检查任务】页面交互,,"1. 进入【资产】-【数据标准】-【标准管理】-【落标检查】页面
2. 在【落标检查任务】页面点击【新建检查任务】按钮
3. 点击[选择数据源]下拉框
4. 选择测试用数据源
5. 点击[数据库]下拉框
6. 选择测试用数据库
7. 点击[数据表]下拉框
8. 选择测试用数据表
9. 点击切换[选择分区]单选框
10. 填写选择分区内容
11. 点击[标准目录]下拉框
12. 选择测试用标准
13. 点击[车型关联字段]下拉框
14. 选择测试用车型
15. 点击 [取消] 按钮
16. 点击 [下一步] 按钮
17. 点击 [字段名称查询框]，输入查询字段，点击 [搜索] 按钮
18. 点击 [勾选框] （单选/全选）
19. 点击 [是否开启检查] 按钮
20. 点击[检查项]下拉框
21. 点击 [分页栏] 功能
22. 点击 [批量开启/关闭] 按钮
23. 鼠标悬浮在 [告警通知] 后的悬浮提示按钮上
24. 点击 [规则包数量] 输入框，输入数值
25. 鼠标悬浮在 [告警通知] 后的悬浮提示按钮上
26. 点击 [取消] 按钮
27. 点击 [临时检查] 按钮
28. 点击 [下一步] 按钮
29. 点击[调度周期]下拉框
30. 点击[生效日期]日期框
31. 点击[具体时间]下拉框
32. 点击 [取消] 按钮
33. 鼠标悬浮在 [告警方式] 后的悬浮提示按钮上
34. 点击 [告警方式] 选择按钮
35. 点击 [上一步] 按钮
36. 点击 [新增] 按钮
37. 点击 [新增并立即执行] 按钮","1. 进入成功
2. 进入[检查范围]配置页面
3. 下拉框中显示所有配置的数据源
4. 填充所选数据源
5. 根据所选数据源显示对应的数据源
6. 填充所选数据库
7. 根据所选数据库显示对应的数据表
8. 填充所选数据表
9. 当选择到选择已有分区/选择动态分区/手动输入分区时，下方联动出现对应填写内容
10. 展示树形标准目录，支持多选
11. 测试用标准按层级格式填充进选择框
12. 展示所有车系/车型
13. 所选车型填充进选择框
14. 返回【标准管理】-【落标检查】-【落标检查任务】页面，不生成任务
15. 进入[选择字段]配置页面
16. 逻辑：字段列表为已经存在绑定了标准的字段列表，若字段无标准绑定，不展示在列表中。针对后续新增绑定标准的字段，是否开启检查默认为不开启，需要在编辑任务的时候开启后才可进行落标检查。
17. 全选勾选框成功勾选当前页所有字段，单选勾选框成功勾选选定字段
18. 点击的记录 [是否开启检查] 按钮成功切换状态
19. 逻辑：默认选择全部，支持选择单个/多个检查项，若字段下的标准技术属性项存在未维护的情况，不展示对应的检查项，检查按钮无法开启
20. 点击 [上一页] 切换 [检查字段列表] 至上一分页内容，当当前页数为1时无点击动作且鼠标悬浮无变化
21. 对应记录 [是否开启检查] 状态变更
22. 提示：“如果检查字段较多，建议设置多个拼接包。系统会根据拼接包数量将若干个字段检查任 务划分至不同的并行任务重运行，每个并行 任务的运行状态不会影响其他任务“
23. 成功输入
24. 提示“检查任务运行失败时进行通知提醒。（存在一个字段检查失败则进行告警提醒）“
25. 返回【标准管理】-【落标检查】-【落标检查任务】页面，不生成任务
26. 点击临时检查立即生成一条检查
27. 成功进入 [调度配置] 配置页面
28. 下拉框中显示所有配置：天/周/月
29. 显示日期选择框，可选择开始日期-结束日期，默认为当前日期到后100年，可进行年月日选择维度的切换
30. 分别选择[时/分]
31. 返回【标准管理】-【落标检查】-【落标检查任务】页面，不生产任务
32. 提示“各个告警通道需要先在控制台配置默认告警 通道，否则配置后无效“
33. 各选项可点击切换选择状态
34. 返回 [选择字段] 配置页面，当前 [调度配置] 页面内容不保存
35. 成功新增对应落标检查任务，按照周期配置的生效时间进行检查
36. 成功新增对应落标检查任务，先执行检查一遍后再按照周期配置生效时间进行检查，更新对应数据，生成检查结果
37. 操作成功",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
,数据资产_STD(#23),/版本迭代测试用例/v6.4.11/【lindorm适配】数据资产适配lindorm(#10629)/数据标准/落标检查,【lindorm适配】数据资产适配lindorm(#10629),验证【标准管理】-【落标检查】-【落标检查结果】页面交互,,"1. 进入【资产】-【数据标准】-【标准管理】-【标准定义】页面
2. 切换到【落标检查结果】
3. 输入数据库全称
4. 点击 [查询] 按钮
5. 输入数据库名称部分
6. 点击 [查询] 按钮
7. 输入数据表全称
8. 点击 [查询] 按钮
9. 输入数据表名称部分
10. 点击 [查询] 按钮
11. 输入字段全称
12. 点击 [查询] 按钮
13. 输入字段名称部分
14. 点击 [查询] 按钮
15. 在数据库/数据表/字段输入框中输入内容，点击 [重置] 按钮
16. 组合编辑 [数据库/数据表/字段] 内容，点击 [查询] 按钮
17. 点击 [导出] 按钮
18. 点击 [勾选框] （单选/全选）
19. 点击 [检查状态] 筛选按钮，选择筛选项
20. 点击 [是否达标] 筛选按钮，选择筛选项
21. 点击 [检查开始时间] 排序按钮
22. 点击 [检查结束时间] 排序按钮
23. 组合[所属数据源][所属数据库][检查周期][检查状态][检查开始时间][检查结束时间] 筛选按钮，选择筛选项
24. 点击 [操作] 列中的 [查询详情] 按钮
25. 点击 [上一页]
26. 点击 [下一页]
27. 点击 [页码]
28. 点击 [显示条数/页]","1. 进入成功
2. 切换成功
3. 成功输入
4. 展示数据库名称包含搜索内容的所有落标任务记录
5. 成功输入
6. 展示数据库名称包含搜索内容的所有落标任务记录
7. 成功输入
8. 展示数据表名称包含搜索内容的所有落标任务记录
9. 成功输入
10. 展示数据表名称包含搜索内容的所有落标任务记录
11. 成功输入
12. 展示使用了名称包含查询内容的字段的所有落标任务记录
13. 成功输入
14. 展示使用了名称包含查询内容的字段的所有落标任务记录
15. 所有输入框重置为默认状态
16. 展示使用了名称包含 [数据库/数据表/字段] 的所有落标任务记录
17. 弹出导出选择框，支持选择“检查列表内容/检查列表内容+不达标明细数据”
18. 全选勾选框成功勾选当前页所有字段，单选勾选框成功勾选选定字段
19. 支持多选，且在选择了筛选项后，更新【落标检查结果】列表，根据筛选项展示对应落标检查结果
20. 支持多选，且在选择了筛选项后，更新【落标检查结果】列表，根据筛选项展示对应落标检查结果
21. 支持按照正序/倒序排列，更新【落标检查结果】列表，根据排序结果展示对应落标检查结果
22. 支持按照正序/倒序排列，更新【落标检查结果】列表，根据排序结果展示对应落标检查结果
23. 在选择了筛选项后，更新【落标检查结果】列表，根据组合筛选项展示对应落标检查任务
24. 弹出对应的落标任务结果详情页面
25. 切换 [落标检查结果] 至上一分页内容，当当前页数为1时无点击动作且鼠标悬浮无变化
26. 切换 [落标检查结果] 至下一分页内容，当当前页数为最后一页时无点击动作且鼠标悬浮无变化
27. 切换 [落标检查结果] 至选定页码的分页内容
28. 切换20条/页;50条/页;100条/页",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
,数据资产_STD(#23),/版本迭代测试用例/v6.4.11/【lindorm适配】数据资产适配lindorm(#10629)/数据标准/落标检查,【lindorm适配】数据资产适配lindorm(#10629),验证【标准管理】-【落标检查】-【落标检查结果】-【查看详情】页面内容,,"1. 进入【资产】-【数据标准】-【标准管理】-【标准定义】页面
2. 切换到【落标检查结果】
3. 找到测试用数据，点击 [查看详情] 按钮
4. UI Check
5. 原型图中【标准管理】-【落标检查】-【落标检查结果】-【查看详情】-【检查结果】无分页栏
6. 交互测试","1. 进入成功
2. 切换成功
3. 弹出详情页面
4. 【检查信息】 [数据源][数据库][数据表][字段] 【检查结果】 [检查项][是否达标][检查开始时间][检查结束时间][操作（查看日志/查看详情）] 【关联标准详情】 [标准信息] [版本变更] 以上内容正常显示
5. 点击 [检查开始时间] 排序按钮
6. 操作成功",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
,数据资产_STD(#23),/版本迭代测试用例/v6.4.11/【lindorm适配】数据资产适配lindorm(#10629)/数据标准/落标检查,【lindorm适配】数据资产适配lindorm(#10629),验证标准达标率、不达标字段数/检查失败数取最新一次任务运行的结果,,"1. 进入【资产】-【数据标准】-【标准管理】-【落标检查】页面
2. 找到【test】表的落标检查，确认为开启检查状态，运行后确认【标准达标率】和【不达标字段数/检查失败数】","1. 进入成功
2. 一周期后数据更新，标准达标率、不达标字段数/检查失败数取最新一次任务运行的结果",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
,数据资产_STD(#23),/版本迭代测试用例/v6.4.11/【lindorm适配】数据资产适配lindorm(#10629)/数据标准/落标检查,【lindorm适配】数据资产适配lindorm(#10629),验证【标准管理】-【标准映射】-【映射目标】支持选择到数据表,,"1. 进入【标准管理】-【标准映射】
2. 点击【标准映射】按钮
3. UI Check
4. 点击各级选择框","1. 进入成功
2. 进入[标准映射]配置页面
3. 【映射目标】中层级为[数据源类型]-[数据源]-[数据库]-[数据表]
4. 弹出可选择的[数据源类型]-[数据源]-[数据库]-[数据表]",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
,数据资产_STD(#23),/版本迭代测试用例/v6.4.11/【lindorm适配】数据资产适配lindorm(#10629)/数据标准/落标检查,【lindorm适配】数据资产适配lindorm(#10629),验证【数据标准】-【标准定义】标准进行“下线”操作时页面测试,,"1. 进入【资产】-【数据标准】-【标准管理】-【标准定义】页面
2. 找到【test】标准（该标准已上线且被落标检查任务使用），确认该标准的操作栏
3. 点击【下线】按钮
4. 点击提示框【下线】按钮","1. 进入成功
2. 该标准操作栏只有“下线”按钮
3. 弹出提示框“该数据标准已被引用至0张数据表，下线数据标准数据表中将不再展示字段的标准标签信息，且会同步删除标准映射结果”
4. 弹出提示框“已有关联标准的字段xxx_xxx、xxx_xxx（表名_字段名）等xx个字段创建了落标检查任务，请先前往落标检查任务关闭字段的检查后再进行标准下线。”",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
,数据资产_STD(#23),/版本迭代测试用例/v6.4.11/【lindorm适配】数据资产适配lindorm(#10629)/数据标准/落标检查,【lindorm适配】数据资产适配lindorm(#10629),验证编辑落标检查任务支持配置环境参数，功能正确,平台已存在落标检查任务A,"1. 进入【资产-数据标准-落标检查】页面
2. 选择落标任务A，点击编辑
3. 进入调度配置页面
4. 点击「环境参数配置」按钮
5. 修改环境参数内容，点击确定
6. 其余内容正确配置，点击新增并立即执行
7. 等待检查完成，查看任务明细
8. 进入yarn地址查看环境参数是否生效","1. 页面正常进入
2. 进入编辑任务页面
3. 展示「环境参数配置」按钮
4. 弹出参数配置弹窗，弹窗内为参数编辑框，展示可配置的Spark参数及注释说明
5. 任务保存成功，为检查中状态
6. 成功完成检查，任务明细正确
7. 环境参数配置生效
8. 操作成功",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
