"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"187481","数据资产_STD(#23)","/版本迭代测试用例/v6.4.11/【岚图】【数据资产】数据资产适配lindorm(#10629)","【lindorm适配】数据资产适配lindorm(#15889)","数据安全 数据权限管理 验证「我的权限查看」-行级权限查看","无","1. 1）在「数据权限分配」中对表A进行行级权限配置；
2）在「我的权限查看」中表A数据点击【查看】","1. 弹窗显示当前用户对该表的行级权限配置","1.","","3","功能测试","功能测试阶段","正常","0","0","1","","向林","2026-06-09","向林","2026-06-09","1","",""
"187458","数据资产_STD(#23)","/版本迭代测试用例/v6.4.11/【岚图】【数据资产】数据资产适配lindorm(#10629)","【lindorm适配】数据资产适配lindorm(#15889)","数据安全 数据权限管理 验证「数据权限分配」-配置行级权限交互逻辑正确","无","1. 点击【配置行级权限】
2. 配置行级权限弹窗中，配置多条权限关系如下：
col1 = value1 and col2 in (value2,value3) and  col3 is null
点击【确定】
3. 再次进入配置行级权限弹窗，将“col3 is null”条件删除，点击【确定】
4. 行级权限弹窗中点击“+”号
5. 行级权限弹窗中点击“删除”icon
6. 行级权限弹窗中生成超过5组条件
7. 行级权限弹窗中操作符选择“null”
8. 行级权限弹窗中右侧输入框输入超过200个字符","1. 显示数据表行级权限配置弹窗，弹窗显示表单内容如下：
“规则关系”单选项，选项为：“且”，“或”，默认选中“且”；
字段配置组件-“选择字段”下拉项为所选表的所有字段；
字段配置组件-“操作符”下拉项为：= 、!= 、包含 、正则、in、not in、null；
字段配置组件-输入框；
2. 弹窗关闭
3. 弹窗关闭
4. 下方新增一组条件组件
5. 删除当前条件组件
6. 提示最多只支持5组条件
7. 右侧输入框为不可编辑状态
8. 提示输入超限","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8.","","2","功能测试","功能测试阶段","正常","0","0","8","","向林","2026-06-09","向林","2026-06-09","1","",""
"187451","数据资产_STD(#23)","/版本迭代测试用例/v6.4.11/【岚图】【数据资产】数据资产适配lindorm(#10629)","【lindorm适配】数据资产适配lindorm(#15889)","数据安全 数据权限管理 验证数据权限-行级权限校验功能正常","无","1. 1）在「数据安全-数据权限分配」配置dql行级级权限为（=）：col1 = value1 ；
2）在「元数据-数据地图」对该表数据预览
2. 1）在「数据安全-数据权限分配」配置dql行级级权限为（!=）：col1 != value1 ；
2）在「元数据-数据地图」对该表数据预览
3. 1）在「数据安全-数据权限分配」配置dql行级级权限为（包含）：col1 like “%value1%“；
2）在「元数据-数据地图」对该表数据预览
4. 1）在「数据安全-数据权限分配」配置dql行级级权限为（正则）：col1 REGEXP '^value1'；
2）在「元数据-数据地图」对该表数据预览
5. 1）在「数据安全-数据权限分配」配置dql行级级权限为（in）：col1 in ('value1','value2')；
2）在「元数据-数据地图」对该表数据预览
6. 1）在「数据安全-数据权限分配」配置dql行级级权限为（not in）：col1 not in ('value1','value2')；
2）在「元数据-数据地图」对该表数据预览
7. 1）在「数据安全-数据权限分配」配置dql行级级权限为（null）：col1 is null；
2）在「元数据-数据地图」对该表数据预览
8. 1）在「数据安全-数据权限分配」配置dql行级级权限为（in 且 null）：col1 in ('value1','value2') and col2 is null；
2）在「元数据-数据地图」对该表数据预览
9. 1）在「数据安全-数据权限分配」配置dql行级级权限为（in 或 null）：col1 in ('value1','value2') or col2 is null；
2）在「元数据-数据地图」对该表数据预览","1. 只显示符合col1 = value1条件的数据
2. 只显示符合col1 != value1条件的数据
3. 只显示符合col1 like “%value1%“条件的数据
4. 只显示符合col1 REGEXP '^value1'条件的数据
5. 只显示符合col1 in ('value1','value2')条件的数据
6. 只显示符合col1 not in ('value1','value2')条件的数据
7. 只显示符合col1 is null条件的数据
8. 只显示符合col1 in ('value1','value2') and col2 is null条件的数据
9. 只显示符合col1 in ('value1','value2') or col2 is null条件的数据","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.","","2","功能测试","功能测试阶段","正常","0","0","9","","向林","2026-06-09","向林","2026-06-09","1","",""
