"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"49692","数据资产_STD(#23)","/版本迭代测试用例/v5.1.1_beta/租户id统一(#3887)","","规范设计-> 验证元素值支持删除的操作","无","1. 点击元素值的删除icon
2. 点击删除","1. 二次弹窗确认：删除元素，将同步删除规范设计和规范建表中已引用和维护的元素信息
取消    删除
2. 该元素值以及子节点元素值都被删除
引用该元素值的规范设计及规范建表中该元素值也被删除成功","1.
2.","","2","功能测试","功能测试阶段","正常","0","1","2","通过","qiuqiu","2022-03-11","","0000-00-00","1","",""
"49691","数据资产_STD(#23)","/版本迭代测试用例/v5.1.1_beta/租户id统一(#3887)","","规范设计-> 验证添加元素值的功能","无","1. 点击「添加元素值」
2. 输入中文名和英文名称，点击空白处","1. 置顶新增一级编辑项
存在两个输入框：中文名输入框（请输入中文名称）、英文名称输入框（请输入英文缩写，用于表名约束）
2. 元素值新增成功","1.
2.","","1","功能测试","功能测试阶段","正常","0","2","2","通过","qiuqiu","2022-03-11","","0000-00-00","1","",""
"49690","数据资产_STD(#23)","/版本迭代测试用例/v5.1.1_beta/租户id统一(#3887)","","规范设计-> 验证左侧模型元素支持删除的操作","无","1. 选择一个已被规范设计应用的模型元素，点击删除icon
2. 点击确定","1. 二次弹窗提示：删除模型元素，会在已引用该元素的规范设计中同步删除该元素信息
2. 左侧模型元素列表删除该模型元素
引用了该模型元素的数仓层级删除该模型元素","1.
2.","","2","功能测试","功能测试阶段","正常","0","1","2","通过","qiuqiu","2022-03-11","","0000-00-00","1","",""
"49689","数据资产_STD(#23)","/版本迭代测试用例/v5.1.1_beta/租户id统一(#3887)","","规范设计-> 验证左侧模型元素支持重命名的操作","无","1. 点击业务系统/主题域/新增模型元素的重命名icon
2. 编辑模型元素，回车或者点击空白处","1. 模型元素为可编辑状态
2. 模型元素编辑成功
规范设计的下拉框中模型元素为编辑后的内容","1.
2.","","2","功能测试","功能测试阶段","正常","0","1","2","通过","qiuqiu","2022-03-11","","0000-00-00","1","",""
"49688","数据资产_STD(#23)","/版本迭代测试用例/v5.1.1_beta/租户id统一(#3887)","","规范设计-> 验证左侧模型元素的新增功能","无","1. 点击“+”icon
2. 输入内容后，回车或者点击空白处
3. 鼠标hover/选中新增模型元素","1. 置顶新增编辑项
2. 新增模型元素被保存在左侧模型元素列表
右侧元素值为空
规范设计下拉框会新增该模型元素
3. 支持编辑、删除动操作","1.
2.
3.","","1","功能测试","功能测试阶段","正常","0","2","3","通过","qiuqiu","2022-03-11","","0000-00-00","1","",""
"49687","数据资产_STD(#23)","/版本迭代测试用例/v5.1.1_beta/租户id统一(#3887)","","规范设计-> 验证数仓层级的删除功能","无","1. 点击删除
2. 点击确定","1. 弹窗二次确认：
删除数仓层级，将同步删除该层级中的规范设计
2. 全局提示：删除成功
列表中该数仓层级被删除
规范建表的数仓层级目录中该数仓层级被删除
规范建表的新建和编辑界面中的数仓层级下拉框中该数仓层级也被删除","1.
2.","","2","功能测试","功能测试阶段","正常","0","1","2","通过","qiuqiu","2022-03-11","","0000-00-00","1","",""
"49686","数据资产_STD(#23)","/版本迭代测试用例/v5.1.1_beta/租户id统一(#3887)","","规范设计-> 验证数仓层级的编辑功能","无","1. 点击编辑
2. 编辑中文名称、英文名称、绑定数据库、描述信息，点击确定","1. 弹出编辑弹窗
弹窗内容同新建，所有内容均可编辑修改
2. 列表中该数仓层级信息显示为编辑后的信息
规范建表的数仓层级目录信息更新为编辑后的内容
规范建表的新建和编辑界面中的数仓层级下拉框内容也更新为编辑后的内容","1.
2.","","2","功能测试","功能测试阶段","正常","0","1","2","通过","qiuqiu","2022-03-11","","0000-00-00","1","",""
"49685","数据资产_STD(#23)","/版本迭代测试用例/v5.1.1_beta/租户id统一(#3887)","","规范设计-> 验证新建数仓层级的功能","无","1. 点击「新建数仓层级」
2. 什么都不填写，点击确定
3. 填写中文名称、英文名称，选择绑定数据库，点击确定","1. 弹出「新建数仓层级」弹窗
2. 中文名称、英文名称下出现提示：请输入名称
绑定数据库下出现提示：请选择绑定数据库
3. 全局提示：新建成功
列表新增该数仓层级","1.
2.
3.","","1","功能测试","功能测试阶段","正常","0","2","3","通过","qiuqiu","2022-03-11","","0000-00-00","1","",""
