"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"185806","数据资产_STD(#23)","/东方商用车维护用例/主干用例(#10552)","","数据质量 项目管理 脏数据管理 验证脏数据管理设置","开启独立存储","1. 1）开启“脏数据存储”2）异常任务，查看明细
2. 1）关闭“脏数据存储”2）异常任务，查看明细","1. 显示异常数据并能下载成功
2. 不显示异常数据且不支持下载","1.
2.","","1","功能测试","功能测试阶段","正常","0","0","2","","昭君","2026-05-25","","0000-00-00","1","",""
"185805","数据资产_STD(#23)","/东方商用车维护用例/主干用例(#10552)","","数据质量 项目管理 脏数据管理 验证脏数据管理-编辑独立存储","无","1. 用户A编辑独立存储，并保存成功
2. 用户B编辑独立存储，并保存成功","1. 更人显示用户A
2. 更人显示用户B","1.
2.","","2","功能测试","功能测试阶段","正常","0","0","2","","昭君","2026-05-25","","0000-00-00","1","",""
